model_parameters,model_rank,auc_score_mean,auc_score_std,auc_score_cv
"{'max_depth': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 50}",33,0.757062984830604,0.011879397994083624,0.015691426251333223
"{'max_depth': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 100}",23,0.7690736749959806,0.014866311239084709,0.01933015226293164
"{'max_depth': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 200}",9,0.7775444200113176,0.012889900531307808,0.01657770308623678
"{'max_depth': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 50}",6,0.780887835758305,0.01444100556558795,0.018493059955998124
"{'max_depth': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 100}",5,0.7845256061407507,0.014083348397700916,0.01795141967000914
"{'max_depth': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 200}",2,0.7870752404135581,0.013126308008363473,0.016677322998327873
"{'max_depth': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 50}",4,0.7845320427779828,0.014703809350845788,0.018742139962544355
"{'max_depth': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 100}",3,0.7861363795669952,0.014181324191309715,0.018039267180486932
"{'max_depth': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 200}",1,0.7873420309895427,0.013144300179349548,0.016694523678393754
"{'max_depth': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 50}",49,0.7385758186840291,0.012902399340925363,0.01746929565594829
"{'max_depth': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 100}",61,0.7373514885818587,0.01428833801137404,0.01937791980166022
"{'max_depth': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 200}",40,0.7442435370203122,0.012936237837773916,0.017381726806209207
"{'max_depth': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 50}",49,0.7385758186840291,0.012902399340925363,0.01746929565594829
"{'max_depth': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 100}",61,0.7373514885818587,0.01428833801137404,0.01937791980166022
"{'max_depth': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 200}",40,0.7442435370203122,0.012936237837773916,0.017381726806209207
"{'max_depth': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 50}",49,0.7385758186840291,0.012902399340925363,0.01746929565594829
"{'max_depth': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 100}",61,0.7373514885818587,0.01428833801137404,0.01937791980166022
"{'max_depth': None, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 200}",40,0.7442435370203122,0.012936237837773916,0.017381726806209207
"{'max_depth': None, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': None, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': None, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': None, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': None, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': None, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': None, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': None, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': None, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 4, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 50}",36,0.7546430591467536,0.011996411695916982,0.015896802535334882
"{'max_depth': 4, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 100}",32,0.7586003745085169,0.01204831111750941,0.015882289967646387
"{'max_depth': 4, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 200}",29,0.7626969352446484,0.01235678130777753,0.016201430393599097
"{'max_depth': 4, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 50}",35,0.7551503156211226,0.012651799399367877,0.01675401458180095
"{'max_depth': 4, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 100}",31,0.7592177667378266,0.012487311558720952,0.016447601868401846
"{'max_depth': 4, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 200}",28,0.7630107420382674,0.012095502081070327,0.015852335248595622
"{'max_depth': 4, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 50}",34,0.7565013905481196,0.011672233806857049,0.015429229810668273
"{'max_depth': 4, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 100}",30,0.7595597824722181,0.01110912400153786,0.014625740143033692
"{'max_depth': 4, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 200}",27,0.7636948136957974,0.011880620080072195,0.015556764124896367
"{'max_depth': 4, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 50}",58,0.7384815721046111,0.012717254250241053,0.01722081461558741
"{'max_depth': 4, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 100}",70,0.7372261069329569,0.01421301948551784,0.019279050689953888
"{'max_depth': 4, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 200}",37,0.744272309654778,0.01287892137812682,0.017304044784496358
"{'max_depth': 4, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 50}",58,0.7384815721046111,0.012717254250241053,0.01722081461558741
"{'max_depth': 4, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 100}",70,0.7372261069329569,0.01421301948551784,0.019279050689953888
"{'max_depth': 4, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 200}",37,0.744272309654778,0.01287892137812682,0.017304044784496358
"{'max_depth': 4, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 50}",58,0.7384815721046111,0.012717254250241053,0.01722081461558741
"{'max_depth': 4, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 100}",70,0.7372261069329569,0.01421301948551784,0.019279050689953888
"{'max_depth': 4, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 200}",37,0.744272309654778,0.01287892137812682,0.017304044784496358
"{'max_depth': 4, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 4, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 4, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 4, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 4, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 4, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 4, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 4, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 4, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 6, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 50}",26,0.7637143291414863,0.01620701796118057,0.021221309254992445
"{'max_depth': 6, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 100}",24,0.768481943710713,0.015218727867004936,0.019803624524369914
"{'max_depth': 6, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 200}",19,0.7715099468378158,0.013471671937424455,0.017461436489109094
"{'max_depth': 6, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 50}",25,0.7669670368197975,0.01398460699741792,0.018233648026653938
"{'max_depth': 6, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 100}",20,0.7702652325070511,0.01343775699910222,0.017445623185360644
"{'max_depth': 6, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 200}",16,0.7733997928417439,0.012785588933110716,0.016531668422268317
"{'max_depth': 6, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 50}",22,0.7697627131114905,0.012023331770026747,0.015619529973628794
"{'max_depth': 6, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 100}",17,0.7732002933296127,0.01262416275907076,0.016327157229477567
"{'max_depth': 6, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 200}",12,0.7758247660390714,0.012673604798741342,0.01633565381451497
"{'max_depth': 6, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 50}",49,0.7385758186840291,0.012902399340925363,0.01746929565594829
"{'max_depth': 6, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 100}",61,0.7373514885818587,0.01428833801137404,0.01937791980166022
"{'max_depth': 6, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 200}",40,0.7442435370203122,0.012936237837773916,0.017381726806209207
"{'max_depth': 6, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 50}",49,0.7385758186840291,0.012902399340925363,0.01746929565594829
"{'max_depth': 6, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 100}",61,0.7373514885818587,0.01428833801137404,0.01937791980166022
"{'max_depth': 6, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 200}",40,0.7442435370203122,0.012936237837773916,0.017381726806209207
"{'max_depth': 6, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 50}",49,0.7385758186840291,0.012902399340925363,0.01746929565594829
"{'max_depth': 6, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 100}",61,0.7373514885818587,0.01428833801137404,0.01937791980166022
"{'max_depth': 6, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 200}",40,0.7442435370203122,0.012936237837773916,0.017381726806209207
"{'max_depth': 6, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 6, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 6, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 6, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 6, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 6, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 6, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 6, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 6, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 50}",21,0.7701578166623843,0.013280423567309092,0.01724376910807991
"{'max_depth': 8, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 100}",18,0.772404215380848,0.015572902010082813,0.02016159635069354
"{'max_depth': 8, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'n_estimators': 200}",14,0.7747850309569618,0.014985216640699624,0.019341128238100965
"{'max_depth': 8, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 50}",15,0.7739285964415593,0.013620034245098365,0.017598566983726693
"{'max_depth': 8, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 100}",13,0.7748168090409738,0.013574872330989187,0.017520105620567817
"{'max_depth': 8, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'n_estimators': 200}",11,0.7766113290282394,0.014248899268725706,0.018347529499157723
"{'max_depth': 8, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 50}",10,0.7768313226564714,0.012081790644416075,0.01555265640306687
"{'max_depth': 8, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 100}",8,0.7781582831132634,0.012759919642874836,0.01639758892217252
"{'max_depth': 8, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 50, 'n_estimators': 200}",7,0.7808475513686427,0.013177150639692955,0.016875445938962733
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 50}",49,0.7385758186840291,0.012902399340925363,0.01746929565594829
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 100}",61,0.7373514885818587,0.01428833801137404,0.01937791980166022
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 200}",40,0.7442435370203122,0.012936237837773916,0.017381726806209207
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 50}",49,0.7385758186840291,0.012902399340925363,0.01746929565594829
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 100}",61,0.7373514885818587,0.01428833801137404,0.01937791980166022
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 10, 'n_estimators': 200}",40,0.7442435370203122,0.012936237837773916,0.017381726806209207
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 50}",49,0.7385758186840291,0.012902399340925363,0.01746929565594829
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 100}",61,0.7373514885818587,0.01428833801137404,0.01937791980166022
"{'max_depth': 8, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 50, 'n_estimators': 200}",40,0.7442435370203122,0.012936237837773916,0.017381726806209207
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 1, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 10, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 50}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 100}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
"{'max_depth': 8, 'min_impurity_decrease': 0.05, 'min_samples_leaf': 50, 'n_estimators': 200}",73,0.6898197606229729,0.010067097765525753,0.014593808905146766
